가지무침 gajimuchim
간장게장 ganjanggejang
갈비구이 galbigui
갈비찜 galbijjim
갈비탕 galbitang
갈치구이 galchigui
갈치조림 galchijorim
감자전 gamjajeon
감자조림 gamjajorim
감자채볶음 gamjachaebokkeum
감자탕 gamjatang
갓김치 gatgimchi
건새우볶음 geonsaeubokkeum
경단 gyeongdan
고등어구이 godeungeogui
고등어조림 godeungeojorim
고사리나물 gosarinamul
고추튀김 gochutwigim
곰탕 OR 설렁탕 gomtang OR seolleongtang
곱창구이 gopchanggui
김밥 gimbap
김치볶음밥 gimchibokkeumbap
김치전 gimchijeon
김치찌개 gimchijjigae
깍두기 kkakdugi
깻잎장아찌 kkaesipjangajji
꼬막찜 kkomakjjim
꽁치조림 kkongchijorim
꿀떡 kkultteok
나박김치 nabakgimchi
달걀국 dalgyalguk
달걀말이 Dalgyalmari
달갈찜 dalgyaljjim
달걀프라이 dalgyalpeurai
닭갈비 dakgalbi
닭볶음탕 dakbokkeumtang
더덕구이 deodeokgui
도라지무침 dorajimuchim
도토리묵 dotorimuk
동그랑땡 donggeurangttaeng
동태전 dongtaejeon
동태찌개 dongtaejjigae
된장찌개 doenjangjjigae
두부김치 dubugimchi
두부조림 dubujorim
땅콩조림 ttangkongjorim
떡갈비 tteokgalbi
떡국 OR 만두국 tteokgukOR manduguk
떡볶이 tteokbokki
라면 ramyeon
라볶이 rabokki
막국수 makguksu
만두 mandu
매운탕 maeuntang
멸치볶음 myeolchibokkeum
무국 muguk
무생채 musaengchae
물냉면 mullaengmyeon
물회 mulhoe
미역국 miyeokguk
미역줄기볶음 miyeokjulgibokkeum
배추김치 baechugimchi
백김치 baekgimchi
부추김치 buchugimchi
북엇국 Bugeotguk
불고기 bulgogi
비빔냉면 bibimnaengmyeon
비빔밥 bibimbap
삼겹살 samgyeopsal
삼계탕 samgyetang
새우볶음밥 saeubokkeumbap
새우튀김 saeutwigi
소세지볶음 sosejibokkeum
송편 songpyeon
수육 suyuk
수정과 sujeonggwa
수제비 sujebi
숙주나물 sukjunamul
순대 sundae
순두부찌개 sundubujjigae
시금치나물 sigeumchinamul
시래기국 siraegiguk
식혜 sikye
알밥 albap
애호박볶음 aehobakbokkeum
약과 yakgwa
약식 yaksik
양념게장 yangnyeomgejang
양념치킨 yangnyeomchikin
어묵볶음 eomukbokkeum
연근조림 yeongeunjorim
열무국수 yeolmuguksu
열무김치 yeolmugimchi
오이소박이 oisobagi 
오징어채볶음 ojingeochaebokkeum
오징어튀김 ojingeotwigim
우엉조림 ueongjorim
유부초밥 yubuchobap
육개장 yukgaejang
육회 yukoe
잔치국수 janchiguksu
잡곡밥 japgokbap
잡채 japchae
장어구이 jangeogui
장조림 jangjorim
전복죽 jeonbokjuk
젓갈 jeotgal 
제육볶음 jeyukbokkeum
조개구이 jogaegui
조기구이 jogigui
족발  jokbal
주꾸미볶음 jukkumibokkeum
주먹밥 jumeokbap
짜장면 jjajangmyeon
짬뽕 jjamppong
쫄면 jjolmyeon
찜닭 jjimdak
총각김치 chonggakgimchi
추어탕 chueotang
칼국수 kalguksu
코다리조림 kodarijorim
콩국수 kongguksu
콩나물귀 kongnamulguk
콩나물무침 kongnamulmuchim
파김치 pagimchi
파전 pajeon
피자 pija
한과 hangwa
해물찜 haemuljjim
호박전  hobakjeon
호박죽 hobakjuk
홍어무침 hongeomuchim
황태구이 Hwangtaegui
회무침 hoemuchim
후라이드치킨 huraideuchikin
훈제오리 hunjeori
